frame_id,label,conf,x,y,w,h
0,0,0.91015625,757.0,394.0,86.0,186.0
0,0,0.8623046875,338.0,354.0,47.0,132.0
0,0,0.8271484375,277.0,358.0,62.0,137.0
0,0,0.6669921875,801.0,386.0,67.0,166.0
0,0,0.57666015625,384.0,286.0,17.0,53.0
0,0,0.459716796875,567.0,295.0,25.0,68.0
0,0,0.407470703125,645.0,273.0,19.0,55.0
1,0,0.9169921875,760.0,396.0,87.0,186.0
1,0,0.85791015625,338.0,355.0,47.0,134.0
1,0,0.8291015625,278.0,358.0,64.0,138.0
1,0,0.6123046875,384.0,286.0,17.0,53.0
1,0,0.56982421875,801.0,382.0,66.0,150.0
1,0,0.42041015625,567.0,294.0,24.0,67.0
2,0,0.91455078125,760.0,397.0,86.0,189.0
2,0,0.8427734375,279.0,360.0,65.0,139.0
2,0,0.83642578125,337.0,354.0,46.0,133.0
2,0,0.671875,385.0,286.0,18.0,54.0
2,0,0.6201171875,803.0,384.0,66.0,150.0
2,0,0.478271484375,567.0,295.0,25.0,67.0
3,0,0.91455078125,759.0,397.0,84.0,190.0
3,0,0.86328125,338.0,353.0,46.0,132.0
3,0,0.8505859375,280.0,362.0,65.0,142.0
3,0,0.69775390625,802.0,384.0,59.0,155.0
3,0,0.67529296875,385.0,287.0,18.0,55.0
3,0,0.4951171875,567.0,294.0,25.0,67.0
3,0,0.47412109375,649.0,273.0,21.0,56.0
4,0,0.90185546875,764.0,397.0,82.0,187.0
4,0,0.861328125,338.0,353.0,47.0,132.0
4,0,0.84423828125,281.0,361.0,66.0,141.0
4,0,0.7197265625,385.0,287.0,18.0,56.0
4,0,0.68994140625,802.0,384.0,55.0,154.0
4,0,0.5185546875,567.0,294.0,25.0,68.0
4,0,0.48193359375,649.0,273.0,21.0,56.0
5,0,0.890625,764.0,397.0,76.0,192.0
5,0,0.87646484375,338.0,353.0,46.0,132.0
5,0,0.83447265625,283.0,360.0,68.0,140.0
5,0,0.71826171875,385.0,287.0,18.0,57.0
5,0,0.7021484375,800.0,386.0,48.0,157.0
5,0,0.4970703125,567.0,295.0,25.0,67.0
5,0,0.44091796875,648.0,273.0,21.0,54.0
6,0,0.88427734375,765.0,397.0,71.0,191.0
6,0,0.88330078125,339.0,353.0,47.0,132.0
6,0,0.83154296875,284.0,359.0,68.0,138.0
6,0,0.7333984375,804.0,387.0,51.0,173.0
6,0,0.68896484375,385.0,286.0,18.0,54.0
6,26,0.5029296875,243.0,312.0,37.0,43.0
6,0,0.501953125,567.0,295.0,24.0,67.0
6,0,0.4375,645.0,274.0,19.0,51.0
6,0,0.431396484375,709.0,283.0,21.0,65.0
7,0,0.88134765625,766.0,396.0,63.0,190.0
7,0,0.87060546875,338.0,355.0,46.0,134.0
7,0,0.857421875,286.0,361.0,70.0,140.0
7,0,0.78076171875,805.0,389.0,56.0,178.0
7,0,0.65966796875,384.0,286.0,17.0,53.0
7,0,0.55712890625,711.0,282.0,21.0,59.0
7,0,0.54296875,567.0,294.0,25.0,70.0
7,0,0.50341796875,645.0,274.0,19.0,53.0
8,0,0.8798828125,338.0,354.0,46.0,133.0
8,0,0.85107421875,286.0,360.0,69.0,139.0
8,0,0.84130859375,775.0,398.0,67.0,194.0
8,0,0.6904296875,385.0,285.0,18.0,51.0
8,0,0.55859375,808.0,390.0,60.0,170.0
8,0,0.5556640625,567.0,294.0,25.0,69.0
8,0,0.53466796875,645.0,274.0,19.0,53.0
8,26,0.436767578125,242.0,312.0,37.0,42.0
8,0,0.401123046875,712.0,282.0,22.0,58.0
9,0,0.89013671875,338.0,353.0,46.0,132.0
9,0,0.873046875,777.0,400.0,64.0,193.0
9,0,0.853515625,286.0,360.0,67.0,139.0
9,0,0.703125,814.0,388.0,51.0,174.0
9,0,0.66845703125,385.0,286.0,18.0,52.0
9,0,0.5458984375,567.0,294.0,25.0,69.0
9,0,0.53857421875,648.0,274.0,22.0,57.0
9,26,0.454833984375,241.0,312.0,36.0,45.0
9,0,0.41064453125,713.0,281.0,21.0,57.0
10,0,0.8974609375,337.0,353.0,45.0,132.0
10,0,0.8876953125,781.0,400.0,62.0,195.0
10,0,0.84423828125,286.0,360.0,66.0,138.0
10,0,0.66650390625,385.0,286.0,18.0,51.0
10,0,0.56884765625,567.0,295.0,26.0,70.0
10,0,0.5478515625,818.0,391.0,51.0,178.0
10,0,0.54248046875,646.0,272.0,20.0,53.0
10,0,0.499267578125,711.0,280.0,21.0,57.0
10,26,0.462890625,241.0,312.0,36.0,46.0
11,0,0.8896484375,338.0,353.0,46.0,133.0
11,0,0.88671875,789.0,400.0,66.0,199.0
11,0,0.82861328125,287.0,362.0,65.0,141.0
11,0,0.78271484375,823.0,390.0,53.0,177.0
11,0,0.587890625,384.0,286.0,18.0,50.0
11,0,0.57177734375,566.0,296.0,26.0,70.0
11,0,0.494873046875,366.0,312.0,30.0,84.0
