frame_id,id,bbox_x,bbox_y,bbox_width,bbox_height,presence
0,1,734,248,161,438,1
0,2,340,307,114,330,1
0,3,425,296,101,346,1
0,4,928,396,274,134,1
0,5,172,326,64,238,1
1,1,735,249,161,435,1
1,2,339,306,114,333,1
1,3,427,296,101,347,1
2,1,737,248,161,435,1
2,2,335,305,114,335,1
2,3,426,296,101,349,1
2,8,942,396,298,127,1
2,5,172,327,64,237,1
3,1,738,248,161,438,1
3,3,426,297,101,349,1
3,8,954,397,297,117,1
3,5,172,328,64,237,1
3,9,317,304,135,341,1
4,1,738,246,160,437,1
4,3,426,297,100,353,1
4,5,171,327,64,239,1
4,9,314,304,135,343,1
4,10,982,396,260,95,1
5,1,740,247,160,435,1
5,3,427,299,101,351,1
5,5,170,326,64,240,1
5,9,311,304,135,339,1
5,10,990,396,259,98,1
6,1,742,253,159,430,1
6,3,426,300,101,352,1
6,5,169,325,64,242,1
6,9,309,301,135,344,1
7,1,747,254,158,436,1
7,3,427,302,100,349,1
7,5,167,324,65,243,1
7,9,308,299,134,346,1
7,12,1031,395,224,99,1
8,1,750,257,159,434,1
8,3,427,302,99,348,1
8,5,165,324,65,242,1
8,12,1037,395,224,100,1
9,1,753,260,158,430,1
9,3,426,302,100,348,1
9,5,163,324,65,242,1
9,14,1060,397,198,89,1
9,2,317,299,114,345,1
10,1,759,267,158,419,1
10,3,425,302,99,348,1
10,5,162,323,65,243,1
10,14,1069,397,198,92,1
10,2,313,297,114,348,1
11,1,764,268,157,418,1
11,3,423,303,100,346,1
11,5,163,322,65,244,1
11,2,310,296,114,349,1
12,1,768,267,157,419,1
12,3,422,305,99,345,1
12,5,162,321,66,245,1
12,2,308,294,115,352,1
12,16,1106,399,166,93,1
13,1,771,263,156,419,1
13,3,423,306,99,345,1
13,5,162,322,66,244,1
13,2,307,295,115,352,1
13,16,1110,398,166,98,1
14,1,776,257,155,422,1
14,3,424,306,100,345,1
14,5,160,324,67,242,1
14,2,307,295,115,350,1
14,17,1137,398,136,94,1
15,1,779,255,155,420,1
15,3,422,307,101,344,1
15,5,160,326,68,241,1
15,2,305,296,115,352,1
15,17,1145,397,136,91,1
16,1,784,253,154,421,1
16,3,421,308,102,344,1
16,5,160,326,68,241,1
16,2,305,297,115,351,1
17,1,789,252,154,423,1
17,3,419,308,103,344,1
17,5,160,326,68,242,1
17,2,304,298,115,348,1
17,18,588,351,60,200,1
18,1,792,254,155,418,1
18,5,160,327,69,241,1
18,2,303,299,115,348,1
18,18,588,351,60,202,1
19,1,795,258,157,414,1
19,5,160,327,69,241,1
19,2,304,299,115,350,1
19,20,410,310,104,342,1
20,1,798,261,158,415,1
20,5,160,327,69,242,1
20,2,305,299,115,350,1
21,1,801,262,158,417,1
21,5,157,327,70,240,1
21,2,306,299,114,351,1
21,3,413,310,103,342,1
22,1,803,266,160,413,1
22,5,156,325,71,241,1
22,2,305,297,115,350,1
22,3,410,310,103,342,1
23,1,804,267,160,411,1
23,2,306,297,114,348,1
23,3,407,309,104,343,1
24,1,803,268,161,408,1
24,2,305,296,114,349,1
24,3,406,309,104,341,1
24,5,155,324,71,243,1
25,1,802,265,161,412,1
25,2,305,294,114,352,1
25,3,406,310,104,338,1
25,5,154,324,71,243,1
25,26,524,379,43,167,1
26,1,801,265,162,408,1
26,2,304,294,115,353,1
26,3,406,308,103,340,1
26,5,153,323,72,242,1
26,26,524,379,43,165,1
27,1,800,262,162,412,1
27,2,302,295,114,354,1
27,3,405,308,102,341,1
27,18,588,350,61,202,1
28,1,799,260,161,413,1
28,2,302,297,113,352,1
28,3,405,308,101,340,1
28,18,587,350,61,199,1
29,1,797,258,160,415,1
29,2,301,297,113,350,1
29,3,406,306,101,344,1
29,18,589,350,60,200,1
29,30,148,326,84,240,1
30,1,796,257,159,418,1
30,2,302,298,112,348,1
30,3,408,306,101,343,1
30,30,146,326,84,241,1
31,1,797,257,158,420,1
31,2,302,299,112,347,1
31,3,408,304,101,345,1
31,30,145,326,84,242,1
32,1,797,258,157,421,1
32,2,301,300,113,346,1
32,3,408,304,101,346,1
32,30,143,324,84,244,1
33,1,797,263,156,418,1
33,2,301,300,112,346,1
33,3,408,302,102,349,1
33,30,140,323,84,245,1
34,2,299,300,113,348,1
34,3,409,303,103,347,1
34,30,137,323,84,244,1
34,18,588,355,61,195,1
35,2,298,299,114,352,1
35,3,410,303,103,348,1
35,30,134,322,85,246,1
35,18,588,357,61,192,1
36,2,299,297,113,356,1
36,3,410,303,104,348,1
36,30,133,321,85,245,1
37,2,297,298,115,354,1
37,3,409,303,105,349,1
37,30,132,321,85,246,1
37,40,820,272,140,408,1
37,42,786,401,44,154,1
38,2,297,299,115,353,1
38,3,408,304,103,349,1
38,30,132,322,86,245,1
38,40,823,272,140,408,1
38,42,784,401,44,155,1
39,2,296,298,116,354,1
39,3,406,304,104,349,1
39,30,131,322,87,246,1
39,40,826,268,140,407,1
40,2,296,298,116,354,1
40,3,404,304,103,351,1
40,30,131,324,87,244,1
40,40,829,265,140,410,1
40,46,594,354,60,196,1
40,47,781,400,52,159,1
41,2,296,296,116,357,1
41,30,130,325,87,244,1
41,40,832,260,141,413,1
41,46,593,352,61,197,1
41,47,781,401,51,155,1
42,2,297,296,116,358,1
42,30,128,326,88,243,1
42,40,837,257,142,416,1
42,46,593,351,61,195,1
42,47,781,401,52,155,1
43,2,297,297,116,355,1
43,30,126,326,87,244,1
43,50,832,258,170,414,1
44,2,297,300,116,352,1
44,30,124,324,88,247,1
44,50,834,261,170,407,1
44,3,399,305,102,348,1
44,46,594,351,60,196,1
45,2,297,301,115,350,1
45,30,124,323,87,249,1
45,50,836,264,170,403,1
46,2,299,301,114,351,1
46,30,122,323,87,248,1
46,50,838,266,170,404,1
47,2,300,302,113,351,1
47,30,121,322,87,249,1
47,50,839,268,171,400,1
47,61,481,344,50,214,1
48,2,300,302,112,351,1
48,30,120,322,87,248,1
48,50,843,271,170,401,1
48,61,480,344,50,214,1
49,30,120,322,87,248,1
